issue_id,point_id,mach,aoa,value,threshold,status,notes
G07,sbli_m0.50_a5,0.50,5.0,0.750000,>0.1,pass,|M^2-1| at M=0.50
G08,press_m0.50_a5,0.50,5.0,0.176884,<2.0,pass,Pressure CD at M=0.50
G04,cd_m0.50_a10,0.50,10.0,0.941097,<2.0,pass,CD at M=0.50 AoA=10
G04,cn_m0.50_a10,0.50,10.0,8.329378,<50.0,pass,CN at M=0.50 AoA=10
G07,sbli_m0.50_a10,0.50,10.0,0.750000,>0.1,pass,|M^2-1| at M=0.50
G08,press_m0.50_a10,0.50,10.0,0.176884,<2.0,pass,Pressure CD at M=0.50
G04,cd_m0.80_a0,0.80,0.0,0.784414,<2.0,pass,CD at M=0.80 AoA=0
G04,cn_m0.80_a0,0.80,0.0,8.464399,<50.0,pass,CN at M=0.80 AoA=0
G07,sbli_m0.80_a0,0.80,0.0,0.360000,>0.1,pass,|M^2-1| at M=0.80
G08,press_m0.80_a0,0.80,0.0,0.194534,<2.0,pass,Pressure CD at M=0.80
G04,cd_m0.80_a2,0.80,2.0,0.794814,<2.0,pass,CD at M=0.80 AoA=2
G04,cn_m0.80_a2,0.80,2.0,8.537296,<50.0,pass,CN at M=0.80 AoA=2
G07,sbli_m0.80_a2,0.80,2.0,0.360000,>0.1,pass,|M^2-1| at M=0.80
G08,press_m0.80_a2,0.80,2.0,0.194534,<2.0,pass,Pressure CD at M=0.80
G04,cd_m0.80_a5,0.80,5.0,0.850164,<2.0,pass,CD at M=0.80 AoA=5
G04,cn_m0.80_a5,0.80,5.0,8.644730,<50.0,pass,CN at M=0.80 AoA=5
G07,sbli_m0.80_a5,0.80,5.0,0.360000,>0.1,pass,|M^2-1| at M=0.80
G08,press_m0.80_a5,0.80,5.0,0.194534,<2.0,pass,Pressure CD at M=0.80
G04,cd_m0.80_a10,0.80,10.0,1.051640,<2.0,pass,CD at M=0.80 AoA=10
G04,cn_m0.80_a10,0.80,10.0,8.817219,<50.0,pass,CN at M=0.80 AoA=10
G07,sbli_m0.80_a10,0.80,10.0,0.360000,>0.1,pass,|M^2-1| at M=0.80
G08,press_m0.80_a10,0.80,10.0,0.194534,<2.0,pass,Pressure CD at M=0.80
G04,cd_m0.90_a0,0.90,0.0,0.838150,<2.0,pass,CD at M=0.90 AoA=0
G04,cn_m0.90_a0,0.90,0.0,8.545536,<50.0,pass,CN at M=0.90 AoA=0
G07,sbli_m0.90_a0,0.90,0.0,0.190000,>0.1,pass,|M^2-1| at M=0.90
G08,press_m0.90_a0,0.90,0.0,0.207936,<2.0,pass,Pressure CD at M=0.90
G04,cd_m0.90_a2,0.90,2.0,0.848640,<2.0,pass,CD at M=0.90 AoA=2
G04,cn_m0.90_a2,0.90,2.0,8.610810,<50.0,pass,CN at M=0.90 AoA=2
G07,sbli_m0.90_a2,0.90,2.0,0.190000,>0.1,pass,|M^2-1| at M=0.90
G08,press_m0.90_a2,0.90,2.0,0.207936,<2.0,pass,Pressure CD at M=0.90
G04,cd_m0.90_a5,0.90,5.0,0.904373,<2.0,pass,CD at M=0.90 AoA=5
G04,cn_m0.90_a5,0.90,5.0,8.706849,<50.0,pass,CN at M=0.90 AoA=5
G07,sbli_m0.90_a5,0.90,5.0,0.190000,>0.1,pass,|M^2-1| at M=0.90
G08,press_m0.90_a5,0.90,5.0,0.207936,<2.0,pass,Pressure CD at M=0.90
G04,cd_m0.90_a10,0.90,10.0,1.106692,<2.0,pass,CD at M=0.90 AoA=10
G04,cn_m0.90_a10,0.90,10.0,8.860609,<50.0,pass,CN at M=0.90 AoA=10
G07,sbli_m0.90_a10,0.90,10.0,0.190000,>0.1,pass,|M^2-1| at M=0.90
G08,press_m0.90_a10,0.90,10.0,0.207936,<2.0,pass,Pressure CD at M=0.90
G04,cd_m0.95_a0,0.95,0.0,0.894672,<2.0,pass,CD at M=0.95 AoA=0
G04,cn_m0.95_a0,0.95,0.0,7.594425,<50.0,pass,CN at M=0.95 AoA=0
G08,press_m0.95_a0,0.95,0.0,0.249424,<2.0,pass,Pressure CD at M=0.95
G04,cd_m0.95_a2,0.95,2.0,0.903993,<2.0,pass,CD at M=0.95 AoA=2
G04,cn_m0.95_a2,0.95,2.0,7.651504,<50.0,pass,CN at M=0.95 AoA=2
G08,press_m0.95_a2,0.95,2.0,0.249424,<2.0,pass,Pressure CD at M=0.95
G04,cd_m0.95_a5,0.95,5.0,0.953505,<2.0,pass,CD at M=0.95 AoA=5
G04,cn_m0.95_a5,0.95,5.0,7.735302,<50.0,pass,CN at M=0.95 AoA=5
G08,press_m0.95_a5,0.95,5.0,0.249424,<2.0,pass,Pressure CD at M=0.95
G04,cd_m0.95_a10,0.95,10.0,1.133159,<2.0,pass,CD at M=0.95 AoA=10
G04,cn_m0.95_a10,0.95,10.0,7.868963,<50.0,pass,CN at M=0.95 AoA=10
G08,press_m0.95_a10,0.95,10.0,0.249424,<2.0,pass,Pressure CD at M=0.95
G04,cd_m0.97_a0,0.97,0.0,0.937769,<2.0,pass,CD at M=0.97 AoA=0
G04,cn_m0.97_a0,0.97,0.0,7.677788,<50.0,pass,CN at M=0.97 AoA=0
G08,press_m0.97_a0,0.97,0.0,0.286177,<2.0,pass,Pressure CD at M=0.97
G04,cd_m0.97_a2,0.97,2.0,0.947187,<2.0,pass,CD at M=0.97 AoA=2
G04,cn_m0.97_a2,0.97,2.0,7.731026,<50.0,pass,CN at M=0.97 AoA=2
G08,press_m0.97_a2,0.97,2.0,0.286177,<2.0,pass,Pressure CD at M=0.97
G04,cd_m0.97_a5,0.97,5.0,0.997163,<2.0,pass,CD at M=0.97 AoA=5
G04,cn_m0.97_a5,0.97,5.0,7.809076,<50.0,pass,CN at M=0.97 AoA=5
G08,press_m0.97_a5,0.97,5.0,0.286177,<2.0,pass,Pressure CD at M=0.97
G04,cd_m0.97_a10,0.97,10.0,1.178205,<2.0,pass,CD at M=0.97 AoA=10
G04,cn_m0.97_a10,0.97,10.0,7.933266,<50.0,pass,CN at M=0.97 AoA=10
G08,press_m0.97_a10,0.97,10.0,0.286177,<2.0,pass,Pressure CD at M=0.97
G04,cd_m1.00_a0,1.00,0.0,1.037695,<2.0,pass,CD at M=1.00 AoA=0
G04,cn_m1.00_a0,1.00,0.0,7.957534,<50.0,pass,CN at M=1.00 AoA=0
G08,press_m1.00_a0,1.00,0.0,0.376348,<2.0,pass,Pressure CD at M=1.00
G04,cd_m1.00_a2,1.00,2.0,1.047447,<2.0,pass,CD at M=1.00 AoA=2
G04,cn_m1.00_a2,1.00,2.0,8.004629,<50.0,pass,CN at M=1.00 AoA=2
G08,press_m1.00_a2,1.00,2.0,0.376348,<2.0,pass,Pressure CD at M=1.00
G04,cd_m1.00_a5,1.00,5.0,1.099101,<2.0,pass,CD at M=1.00 AoA=5
G04,cn_m1.00_a5,1.00,5.0,8.073496,<50.0,pass,CN at M=1.00 AoA=5
G08,press_m1.00_a5,1.00,5.0,0.376348,<2.0,pass,Pressure CD at M=1.00
G04,cd_m1.00_a10,1.00,10.0,1.285688,<2.0,pass,CD at M=1.00 AoA=10
G04,cn_m1.00_a10,1.00,10.0,8.182593,<50.0,pass,CN at M=1.00 AoA=10
G08,press_m1.00_a10,1.00,10.0,0.376348,<2.0,pass,Pressure CD at M=1.00
G04,cd_m1.03_a0,1.03,0.0,1.088228,<2.0,pass,CD at M=1.03 AoA=0
G04,cn_m1.03_a0,1.03,0.0,9.010974,<50.0,pass,CN at M=1.03 AoA=0
