Mach,component,componentClass,componentCategory,instanceCount,CD,pressureCD,frictionCD,baseCD,forebodyCD,CD_wing_ref,pressureCD_wing_ref,frictionCD_wing_ref,baseCD_wing_ref,forebodyCD_wing_ref,wettedArea_m2,planformArea_m2
0.700,Ogive Nose,NoseCone,symmetric_body,1,0.016007,0.000000,0.016007,0.000000,0.016007,0.001814,0.000000,0.001814,0.000000,0.001814,0.01596781,0.00502759
0.700,Delta Wing,TrapezoidFinSet,finset,2,0.031514,0.012390,0.019124,0.000000,0.031514,0.003571,0.001404,0.002167,0.000000,0.003571,0.01948500,0.00974250
0.700,Body Tube,BodyTube,symmetric_body,1,0.227002,0.000000,0.043302,0.183700,0.043302,0.025721,0.000000,0.004906,0.020815,0.004906,0.04319690,0.01375000
0.750,Ogive Nose,NoseCone,symmetric_body,1,0.016096,0.000000,0.016096,0.000000,0.016096,0.001824,0.000000,0.001824,0.000000,0.001824,0.01596781,0.00502759
0.750,Delta Wing,TrapezoidFinSet,finset,2,0.034962,0.015732,0.019230,0.000000,0.034962,0.003961,0.001783,0.002179,0.000000,0.003961,0.01948500,0.00974250
0.750,Body Tube,BodyTube,symmetric_body,1,0.236668,0.000000,0.043543,0.193125,0.043543,0.026816,0.000000,0.004934,0.021883,0.004934,0.04319690,0.01375000
0.800,Ogive Nose,NoseCone,symmetric_body,1,0.016134,0.000000,0.016134,0.000000,0.016134,0.001828,0.000000,0.001828,0.000000,0.001828,0.01596781,0.00502759
0.800,Delta Wing,TrapezoidFinSet,finset,2,0.039578,0.020302,0.019276,0.000000,0.039578,0.004485,0.002300,0.002184,0.000000,0.004485,0.01948500,0.00974250
0.800,Body Tube,BodyTube,symmetric_body,1,0.246848,0.000000,0.043648,0.203200,0.043648,0.027970,0.000000,0.004946,0.023024,0.004946,0.04319690,0.01375000
0.850,Ogive Nose,NoseCone,symmetric_body,1,0.016132,0.000000,0.016132,0.000000,0.016132,0.001828,0.000000,0.001828,0.000000,0.001828,0.01596781,0.00502759
0.850,Delta Wing,TrapezoidFinSet,finset,2,0.046284,0.027011,0.019273,0.000000,0.046284,0.005244,0.003061,0.002184,0.000000,0.005244,0.01948500,0.00974250
0.850,Body Tube,BodyTube,symmetric_body,1,0.257566,0.000000,0.043641,0.213925,0.043641,0.029184,0.000000,0.004945,0.024239,0.004945,0.04319690,0.01375000
0.900,Ogive Nose,NoseCone,symmetric_body,1,0.016095,0.000000,0.016095,0.000000,0.016095,0.001824,0.000000,0.001824,0.000000,0.001824,0.01596781,0.00502759
0.900,Delta Wing,TrapezoidFinSet,finset,2,0.057450,0.038221,0.019229,0.000000,0.057450,0.006510,0.004331,0.002179,0.000000,0.006510,0.01948500,0.00974250
0.900,Body Tube,BodyTube,symmetric_body,1,0.270576,0.000000,0.043540,0.227036,0.043540,0.030658,0.000000,0.004933,0.025725,0.004933,0.04319690,0.01375000
0.950,Ogive Nose,NoseCone,symmetric_body,1,0.027223,0.010000,0.017223,0.000000,0.027223,0.003085,0.001133,0.001952,0.000000,0.003085,0.01596781,0.00502759
0.950,Delta Wing,TrapezoidFinSet,finset,2,0.055978,0.035401,0.020577,0.000000,0.055978,0.006343,0.004011,0.002332,0.000000,0.006343,0.01948500,0.00974250
0.950,Body Tube,BodyTube,symmetric_body,1,0.286824,0.000000,0.046593,0.240231,0.046593,0.032499,0.000000,0.005279,0.027220,0.005279,0.04319690,0.01375000
1.000,Ogive Nose,NoseCone,symmetric_body,1,0.042291,0.024000,0.018291,0.000000,0.042291,0.004792,0.002719,0.002073,0.000000,0.004792,0.01596781,0.00502759
1.000,Delta Wing,TrapezoidFinSet,finset,2,0.055321,0.033468,0.021853,0.000000,0.055321,0.006268,0.003792,0.002476,0.000000,0.006268,0.01948500,0.00974250
1.000,Body Tube,BodyTube,symmetric_body,1,0.298312,0.000000,0.049482,0.248830,0.049482,0.033801,0.000000,0.005607,0.028194,0.005607,0.04319690,0.01375000
1.050,Ogive Nose,NoseCone,symmetric_body,1,0.085325,0.066000,0.019325,0.000000,0.085325,0.009668,0.007478,0.002190,0.000000,0.009668,0.01596781,0.00502759
1.050,Delta Wing,TrapezoidFinSet,finset,2,0.059519,0.036431,0.023088,0.000000,0.059519,0.006744,0.004128,0.002616,0.000000,0.006744,0.01948500,0.00974250
1.050,Body Tube,BodyTube,symmetric_body,1,0.302278,0.000000,0.052278,0.250000,0.052278,0.034251,0.000000,0.005924,0.028327,0.005924,0.04319690,0.01375000
1.100,Ogive Nose,NoseCone,symmetric_body,1,0.104347,0.084000,0.020347,0.000000,0.104347,0.011823,0.009518,0.002305,0.000000,0.011823,0.01596781,0.00502759
1.100,Delta Wing,TrapezoidFinSet,finset,2,0.063623,0.039314,0.024309,0.000000,0.063623,0.007209,0.004455,0.002754,0.000000,0.007209,0.01948500,0.00974250
1.100,Body Tube,BodyTube,symmetric_body,1,0.297789,0.000000,0.055044,0.242745,0.055044,0.033742,0.000000,0.006237,0.027505,0.006237,0.04319690,0.01375000
1.150,Ogive Nose,NoseCone,symmetric_body,1,0.112208,0.092000,0.020208,0.000000,0.112208,0.012714,0.010424,0.002290,0.000000,0.012714,0.01596781,0.00502759
1.150,Delta Wing,TrapezoidFinSet,finset,2,0.065818,0.041675,0.024143,0.000000,0.065818,0.007458,0.004722,0.002736,0.000000,0.007458,0.01948500,0.00974250
1.150,Body Tube,BodyTube,symmetric_body,1,0.282580,0.000000,0.054667,0.227913,0.054667,0.032019,0.000000,0.006194,0.025824,0.006194,0.04319690,0.01375000
1.200,Ogive Nose,NoseCone,symmetric_body,1,0.120075,0.100000,0.020075,0.000000,0.120075,0.013605,0.011331,0.002275,0.000000,0.013605,0.01596781,0.00502759
1.200,Delta Wing,TrapezoidFinSet,finset,2,0.067060,0.043076,0.023984,0.000000,0.067060,0.007598,0.004881,0.002718,0.000000,0.007598,0.01948500,0.00974250
