vehicle,source_doc,apogee_real_ft,apogee_orp_ft,err_pct,note
"Super Loki Robin Dart F4-1","AFCRL-TR-73-0412 Table 6.1 (F4-1 nominal, 80 deg QE sea level)",232000,55775,-75.96,""
"Arcas Performance Flight 7","DTIC AD-235341 p.16-17 (extended-motor final config, peak Mach 3.6)",249000,74778,-69.97,""
