mutation,rocket,cdx1,real_ft,rasaero_ft,baseline_orp_ft,mutated_orp_ft,baseline_err_pct,mutated_err_pct,delta_err_pp,delta_ft,baseline_mach,mutated_mach,baseline_terminal,mutated_terminal,notes
"no_pnk","Blister","Blister.CDX1",9026,8301,8267.917,8267.917,-8.3989,-8.3989,0.0000,0.000,0.8307,0.8307,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Rabia","Rabia.CDX1",12745,12197,11913.186,11913.186,-6.5266,-6.5266,0.0000,0.000,1.1439,1.1439,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Rabia Short Fin Can","Rabia-ShortFinCan.CDX1",10584,10225,9915.976,9915.976,-6.3116,-6.3116,-0.0000,-0.000,0.8608,0.8608,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Torrent","Torrent.CDX1",12807,13717,12454.703,12454.703,-2.7508,-2.7508,-0.0000,-0.000,1.2190,1.2190,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Caliber Isp 04 Team 3","CalIsp1.CDX1",3964,3876,3888.778,3888.778,-1.8976,-1.8976,0.0000,0.000,0.6357,0.6357,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Caliber Isp 04 Team 1","CalIsp2.CDX1",3837,3948,3960.237,3960.237,3.2118,3.2118,0.0000,0.000,0.6628,0.6628,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Caliber Isp 04 Team 2","CalIsp3.CDX1",3710,3876,3890.079,3890.079,4.8539,4.8539,0.0000,0.000,0.6379,0.6379,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Caliber Isp 05 Columbia","CalIsp4.CDX1",5085,4847,4777.135,4777.135,-6.0544,-6.0544,0.0000,0.000,0.8431,0.8431,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Caliber Isp 05 Discovery","CalIsp5.CDX1",4930,4836,4772.304,4772.304,-3.1987,-3.1987,0.0000,0.000,0.8076,0.8076,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Kline-Rogers L500","L500Roc.CDX1",24771,26509,24178.638,24178.638,-2.3914,-2.3914,0.0000,0.000,1.9848,1.9848,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Don't Debate This","DontDebateThisN5800MinDia.CDX1",56573,61982,53150.010,53150.010,-6.0506,-6.0506,0.0000,0.000,3.0363,3.0363,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Qu8k","Qu8k.CDX1",121478,119684,119186.866,119186.866,-1.8860,-1.8860,-0.0000,-0.000,3.4639,3.4639,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Proteus 6","Proteus6.CDX1",85067,81499,91338.509,91338.509,7.3724,7.3724,0.0000,0.000,2.8664,2.8664,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Full Metal Jacket BALLS 005","Full Metal Jacket1.CDX1",37981,38772,37256.478,37256.478,-1.9076,-1.9076,0.0000,0.000,2.3058,2.3058,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","Full Metal Jacket Black Rock 6","Full Metal Jacket2.CDX1",30038,32548,29238.584,29238.584,-2.6614,-2.6614,0.0000,0.000,2.4649,2.4649,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","A-601 Kinsel","Kinsel_P4935_A-601_Rocket.CDX1",42771,41098,46499.309,46499.309,8.7169,8.7169,0.0000,0.000,2.1851,2.1851,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_pnk","AeroPac 104K","AeroPac104KStageOne&Two-2.CDX1",104659,113786,103602.294,103602.294,-1.0097,-1.0097,-0.0000,-0.000,3.0355,3.0355,"NORMAL","NORMAL","Pitts-Nielsen-Kaattari interference disabled (F_WB=F_BW=1)"
"no_van_driest_ii","Byrum","Byrum.CDX1",5732,5281,6161.393,6161.393,7.4912,7.4912,0.0000,0.000,0.7474,0.7474,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Cancer Descending","CancerDescending.CDX1",6188,6328,6044.047,6044.047,-2.3263,-2.3263,0.0000,0.000,0.5561,0.5561,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","EZI-65 J450ST","EZI65-1.CDX1",3965,4214,4158.246,4158.246,4.8738,4.8738,0.0000,0.000,0.5966,0.5966,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Gibb","Gibb.CDX1",3913,4205,3988.919,3988.919,1.9402,1.9402,0.0000,0.000,0.5460,0.5460,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Ion Drive","IonDrive.CDX1",8027,8642,7729.584,7729.584,-3.7052,-3.7052,0.0000,0.000,0.7856,0.7856,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Raven","Raven.CDX1",8815,9332,9488.583,9488.063,7.6413,7.6354,-0.0059,-0.520,1.0688,1.0688,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Thunder & Lightning","Thunder&Lightning.CDX1",3577,3989,3876.533,3876.533,8.3739,8.3739,0.0000,0.000,0.5430,0.5430,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Blister","Blister.CDX1",9026,8301,8267.917,8267.917,-8.3989,-8.3989,0.0000,0.000,0.8307,0.8307,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Rabia","Rabia.CDX1",12745,12197,11913.186,11902.508,-6.5266,-6.6104,-0.0838,-10.678,1.1439,1.1433,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Rabia Short Fin Can","Rabia-ShortFinCan.CDX1",10584,10225,9915.976,9915.976,-6.3116,-6.3116,-0.0000,-0.000,0.8608,0.8608,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Torrent","Torrent.CDX1",12807,13717,12454.703,12440.504,-2.7508,-2.8617,-0.1109,-14.199,1.2190,1.2185,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Caliber Isp 04 Team 3","CalIsp1.CDX1",3964,3876,3888.778,3888.778,-1.8976,-1.8976,0.0000,0.000,0.6357,0.6357,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Caliber Isp 04 Team 1","CalIsp2.CDX1",3837,3948,3960.237,3960.237,3.2118,3.2118,0.0000,0.000,0.6628,0.6628,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Caliber Isp 04 Team 2","CalIsp3.CDX1",3710,3876,3890.079,3890.079,4.8539,4.8539,0.0000,0.000,0.6379,0.6379,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Caliber Isp 05 Columbia","CalIsp4.CDX1",5085,4847,4777.135,4777.135,-6.0544,-6.0544,0.0000,0.000,0.8431,0.8431,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Caliber Isp 05 Discovery","CalIsp5.CDX1",4930,4836,4772.304,4772.304,-3.1987,-3.1987,0.0000,0.000,0.8076,0.8076,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Kline-Rogers L500","L500Roc.CDX1",24771,26509,24178.638,24179.744,-2.3914,-2.3869,0.0045,1.106,1.9848,1.9870,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Don't Debate This","DontDebateThisN5800MinDia.CDX1",56573,61982,53150.010,55707.861,-6.0506,-1.5292,4.5213,2557.851,3.0363,3.0558,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Qu8k","Qu8k.CDX1",121478,119684,119186.866,128835.756,-1.8860,6.0569,7.9429,9648.889,3.4639,3.4920,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Proteus 6","Proteus6.CDX1",85067,81499,91338.509,97064.641,7.3724,14.1038,6.7313,5726.132,2.8664,2.8924,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Full Metal Jacket BALLS 005","Full Metal Jacket1.CDX1",37981,38772,37256.478,37486.333,-1.9076,-1.3024,0.6052,229.856,2.3058,2.3070,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","Full Metal Jacket Black Rock 6","Full Metal Jacket2.CDX1",30038,32548,29238.584,29300.227,-2.6614,-2.4561,0.2052,61.644,2.4649,2.4670,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","A-601 Kinsel","Kinsel_P4935_A-601_Rocket.CDX1",42771,41098,46499.309,46954.622,8.7169,9.7814,1.0645,455.313,2.1851,2.1970,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_van_driest_ii","AeroPac 104K","AeroPac104KStageOne&Two-2.CDX1",104659,113786,103602.294,103557.121,-1.0097,-1.0528,-0.0432,-45.172,3.0355,3.0355,"NORMAL","NORMAL","Van Driest II skin friction disabled (incompressible Cf)"
"no_k1_floor","Byrum","Byrum.CDX1",5732,5281,6161.393,6161.393,7.4912,7.4912,0.0000,0.000,0.7474,0.7474,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
"no_k1_floor","Cancer Descending","CancerDescending.CDX1",6188,6328,6044.047,6044.047,-2.3263,-2.3263,0.0000,0.000,0.5561,0.5561,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
"no_k1_floor","EZI-65 J450ST","EZI65-1.CDX1",3965,4214,4158.246,4158.246,4.8738,4.8738,0.0000,0.000,0.5966,0.5966,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
"no_k1_floor","Gibb","Gibb.CDX1",3913,4205,3988.919,3988.919,1.9402,1.9402,0.0000,0.000,0.5460,0.5460,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
"no_k1_floor","Ion Drive","IonDrive.CDX1",8027,8642,7729.584,7729.584,-3.7052,-3.7052,0.0000,0.000,0.7856,0.7856,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
"no_k1_floor","Raven","Raven.CDX1",8815,9332,9488.583,9488.583,7.6413,7.6413,0.0000,0.000,1.0688,1.0688,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
"no_k1_floor","Thunder & Lightning","Thunder&Lightning.CDX1",3577,3989,3876.533,3876.533,8.3739,8.3739,0.0000,0.000,0.5430,0.5430,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
"no_k1_floor","Blister","Blister.CDX1",9026,8301,8267.917,8267.917,-8.3989,-8.3989,0.0000,0.000,0.8307,0.8307,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
"no_k1_floor","Rabia","Rabia.CDX1",12745,12197,11913.186,11913.186,-6.5266,-6.5266,-0.0000,-0.000,1.1439,1.1439,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
"no_k1_floor","Rabia Short Fin Can","Rabia-ShortFinCan.CDX1",10584,10225,9915.976,9915.976,-6.3116,-6.3116,-0.0000,-0.000,0.8608,0.8608,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
"no_k1_floor","Torrent","Torrent.CDX1",12807,13717,12454.703,12454.703,-2.7508,-2.7508,0.0000,0.000,1.2190,1.2190,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
"no_k1_floor","Caliber Isp 04 Team 3","CalIsp1.CDX1",3964,3876,3888.778,3888.778,-1.8976,-1.8976,0.0000,0.000,0.6357,0.6357,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
"no_k1_floor","Caliber Isp 04 Team 1","CalIsp2.CDX1",3837,3948,3960.237,3960.237,3.2118,3.2118,0.0000,0.000,0.6628,0.6628,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
"no_k1_floor","Caliber Isp 04 Team 2","CalIsp3.CDX1",3710,3876,3890.079,3890.079,4.8539,4.8539,0.0000,0.000,0.6379,0.6379,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
"no_k1_floor","Caliber Isp 05 Columbia","CalIsp4.CDX1",5085,4847,4777.135,4777.135,-6.0544,-6.0544,0.0000,0.000,0.8431,0.8431,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
"no_k1_floor","Caliber Isp 05 Discovery","CalIsp5.CDX1",4930,4836,4772.304,4772.304,-3.1987,-3.1987,0.0000,0.000,0.8076,0.8076,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
"no_k1_floor","Kline-Rogers L500","L500Roc.CDX1",24771,26509,24178.638,24178.638,-2.3914,-2.3914,0.0000,0.000,1.9848,1.9848,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
"no_k1_floor","Don't Debate This","DontDebateThisN5800MinDia.CDX1",56573,61982,53150.010,53149.882,-6.0506,-6.0508,-0.0002,-0.128,3.0363,3.0363,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
"no_k1_floor","Qu8k","Qu8k.CDX1",121478,119684,119186.866,119186.866,-1.8860,-1.8860,-0.0000,-0.000,3.4639,3.4639,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
"no_k1_floor","Proteus 6","Proteus6.CDX1",85067,81499,91338.509,91338.509,7.3724,7.3724,0.0000,0.000,2.8664,2.8664,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
"no_k1_floor","Full Metal Jacket BALLS 005","Full Metal Jacket1.CDX1",37981,38772,37256.478,37256.478,-1.9076,-1.9076,0.0000,0.000,2.3058,2.3058,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
"no_k1_floor","Full Metal Jacket Black Rock 6","Full Metal Jacket2.CDX1",30038,32548,29238.584,29238.584,-2.6614,-2.6614,-0.0000,-0.000,2.4649,2.4649,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
"no_k1_floor","A-601 Kinsel","Kinsel_P4935_A-601_Rocket.CDX1",42771,41098,46499.309,46499.309,8.7169,8.7169,0.0000,0.000,2.1851,2.1851,"NORMAL","NORMAL","Mach-blended K1 floor disabled (no fin CNa floor)"
