geometry,Mach,CD,CDaxial,pressureCD,frictionCD,baseCD,refLength_m,refArea_m2
cone_cylinder,6.00,0.254976,0.254976,0.050026,0.135784,0.069167,0.050000,0.00196350
cone_cylinder,6.10,0.251139,0.251139,0.050041,0.132099,0.068999,0.050000,0.00196350
cone_cylinder,6.20,0.247452,0.247452,0.050060,0.128553,0.068839,0.050000,0.00196350
cone_cylinder,6.30,0.243904,0.243904,0.050078,0.125140,0.068686,0.050000,0.00196350
cone_cylinder,6.40,0.240488,0.240488,0.050095,0.121852,0.068541,0.050000,0.00196350
cone_cylinder,6.50,0.237198,0.237198,0.050111,0.118685,0.068402,0.050000,0.00196350
cone_cylinder,6.60,0.234030,0.234030,0.050127,0.115633,0.068270,0.050000,0.00196350
cone_cylinder,6.70,0.230976,0.230976,0.050142,0.112690,0.068143,0.050000,0.00196350
cone_cylinder,6.80,0.228032,0.228032,0.050156,0.109853,0.068022,0.050000,0.00196350
cone_cylinder,6.90,0.225193,0.225193,0.050170,0.107116,0.067907,0.050000,0.00196350
cone_cylinder,7.00,0.222454,0.222454,0.050183,0.104476,0.067796,0.050000,0.00196350
cone_cylinder,7.10,0.219812,0.219812,0.050195,0.101927,0.067690,0.050000,0.00196350
cone_cylinder,7.20,0.217261,0.217261,0.050207,0.099465,0.067588,0.050000,0.00196350
cone_cylinder,7.30,0.214797,0.214797,0.050219,0.097088,0.067490,0.050000,0.00196350
cone_cylinder,7.40,0.212418,0.212418,0.050230,0.094791,0.067397,0.050000,0.00196350
cone_cylinder,7.50,0.210119,0.210119,0.050240,0.092572,0.067307,0.050000,0.00196350
cone_cylinder,7.60,0.207897,0.207897,0.050251,0.090426,0.067220,0.050000,0.00196350
cone_cylinder,7.70,0.205748,0.205748,0.050260,0.088351,0.067137,0.050000,0.00196350
cone_cylinder,7.80,0.203670,0.203670,0.050270,0.086343,0.067057,0.050000,0.00196350
cone_cylinder,7.90,0.201660,0.201660,0.050279,0.084401,0.066980,0.050000,0.00196350
cone_cylinder,8.00,0.199715,0.199715,0.050288,0.082521,0.066906,0.050000,0.00196350
ogive_cylinder,0.30,0.952554,0.952554,0.000000,0.820854,0.131700,0.050000,0.00196350
ogive_cylinder,0.40,0.955856,0.955856,0.000000,0.815056,0.140800,0.050000,0.00196350
ogive_cylinder,0.50,0.960101,0.960101,0.000000,0.807601,0.152500,0.050000,0.00196350
ogive_cylinder,0.60,0.965290,0.965290,0.000000,0.798490,0.166800,0.050000,0.00196350
ogive_cylinder,0.70,0.971422,0.971422,0.000000,0.787722,0.183700,0.050000,0.00196350
ogive_cylinder,0.80,0.978497,0.978497,0.000000,0.775297,0.203200,0.050000,0.00196350
ogive_cylinder,0.90,0.988346,0.988346,0.000094,0.761216,0.227036,0.050000,0.00196350
ogive_cylinder,1.00,0.987929,0.987929,0.001622,0.737477,0.248830,0.050000,0.00196350
ogive_cylinder,1.10,1.029900,1.029900,0.075511,0.711644,0.242745,0.050000,0.00196350
ogive_cylinder,1.20,0.939519,0.939519,0.038236,0.693088,0.208194,0.050000,0.00196350
ogive_cylinder,1.30,0.849027,0.849027,0.000982,0.673986,0.174059,0.050000,0.00196350
ogive_cylinder,1.40,0.813824,0.813824,0.000421,0.654505,0.158898,0.050000,0.00196350
ogive_cylinder,1.50,0.790413,0.790413,0.008949,0.634797,0.146667,0.050000,0.00196350
ogive_cylinder,1.60,0.779610,0.779610,0.027953,0.615001,0.136656,0.050000,0.00196350
ogive_cylinder,1.70,0.764217,0.764217,0.040616,0.595241,0.128360,0.050000,0.00196350
ogive_cylinder,1.80,0.746614,0.746614,0.049581,0.575626,0.121407,0.050000,0.00196350
ogive_cylinder,1.90,0.727950,0.727950,0.056178,0.556248,0.115524,0.050000,0.00196350
ogive_cylinder,2.00,0.708853,0.708853,0.061167,0.537186,0.110500,0.050000,0.00196350
ogive_cylinder,2.10,0.689697,0.689697,0.065013,0.518507,0.106177,0.050000,0.00196350
ogive_cylinder,2.20,0.670714,0.670714,0.068021,0.500263,0.102430,0.050000,0.00196350
ogive_cylinder,2.30,0.652054,0.652054,0.070397,0.482496,0.099161,0.050000,0.00196350
ogive_cylinder,2.40,0.633818,0.633818,0.072287,0.465239,0.096292,0.050000,0.00196350
ogive_cylinder,2.50,0.616071,0.616071,0.073796,0.448515,0.093760,0.050000,0.00196350
ogive_cylinder,2.60,0.598856,0.598856,0.075002,0.432339,0.091515,0.050000,0.00196350
